Month,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199206,-4.0597,-4.1557,-6.3054,-1.5054,-1.2011,-3.292
199207,1.5741,2.4718,1.3331,2.8356,4.1982,5.1053
199208,-3.6743,-2.0976,-2.9151,-4.2836,-1.7549,-2.1553
199209,0.874,1.4474,1.3801,2.6907,1.4703,2.1875
199210,1.4654,2.4651,2.3691,2.234,1.227,3.9173
199211,7.7075,7.1072,9.0867,4.8117,3.9854,6.3017
199212,4.967,3.4865,3.0574,3.3311,2.6579,2.2437
199301,9.6573,6.2221,6.352,5.6352,1.4821,0.8558
199302,0.3616,0.2126,-4.6155,1.7662,2.0828,-2.9989
199303,3.266,2.4839,1.6186,3.3858,3.124,3.3446
199304,-1.271,-1.7066,-2.3482,-1.4219,-1.8183,-3.7511
199305,5.9651,3.9357,4.4993,2.773,2.1976,4.8713
199306,3.1973,1.0606,0.5394,1.5716,1.1574,-0.8167
199307,2.2394,1.2034,0.0631,0.9337,0.4089,-0.6386
199308,4.0655,3.5538,3.9296,4.9148,3.9426,4.4351
199309,3.6276,2.0899,3.5371,0.2206,-0.0309,1.3232
199310,5.4798,4.0982,4.6402,2.2297,0.3392,0.9902
199311,-1.7233,-1.6879,-3.4778,-1.5954,-2.3565,-2.0127
199312,0.8835,1.573,0.3502,2.2251,3.3894,3.9418
199401,7.6328,4.2142,4.6425,4.7979,2.4443,2.7962
199402,0.3543,-0.0473,-1.0495,-2.2334,-1.8886,-1.0559
199403,-3.5641,-4.1315,-5.6428,-5.1512,-3.8285,-4.8166
199404,-1.7647,-0.0679,-3.02,1.3673,0.7766,0.2724
199405,-0.3172,0.286,-0.9901,0.1706,0.213,0.1808
199406,-3.2821,-2.2757,-4.3733,-2.2357,-1.7936,-3.6668
199407,1.5625,1.4217,0.1696,3.7414,3.3481,3.2627
199408,3.7566,3.5783,4.2549,5.2477,3.7895,6.3661
199409,1.8901,1.4132,0.9407,-1.3837,-2.5031,-1.7679
199410,0.4144,0.2516,-0.8081,0.519,0.7276,2.0295
199411,-4.1158,-3.44,-4.4529,-4.692,-3.9792,-4.7015
199412,-0.8626,-0.6801,-3.156,1.3117,1.4914,1.4734
199501,5.1293,2.1474,3.1525,1.4348,2.2933,1.6327
199502,2.1947,3.5545,2.8557,5.8005,4.5652,5.2156
199503,2.0611,1.419,1.6483,3.7352,1.5323,2.7374
199504,3.1496,3.104,1.7806,2.4061,1.6576,1.1825
199505,1.7178,2.1099,1.3657,2.9311,3.2409,2.9737
199506,6.8074,4.4029,6.6412,1.7565,2.1147,5.5952
199507,6.6151,4.9564,6.3109,2.888,3.7972,7.6015
199508,6.2965,3.2099,3.0801,1.9279,1.5411,0.8522
199509,4.0624,2.2578,2.297,3.2251,2.42,2.5485
199510,-5.5704,-3.0631,-6.0784,-2.0431,-1.4439,-2.5242
199511,-0.6436,1.4029,1.3496,5.5775,5.4098,4.2629
199512,1.8735,2.0514,-0.4204,2.0255,1.7038,-1.0774
199601,6.2517,1.7061,1.9505,2.3988,2.1706,0.6186
199602,5.4312,2.6449,3.862,1.2167,1.9249,4.3309
199603,3.4321,2.7558,3.4739,1.538,2.1479,1.1422
