Month,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199101,9.98,9.9315,9.6165,5.6151,5.808,8.3928
199102,15.6657,11.6792,13.5168,9.0142,7.7848,9.3181
199103,10.2678,7.3451,9.5065,3.7681,2.7582,3.9667
199104,5.0972,1.8909,2.2581,-1.1143,0.9809,1.4723
199105,2.6141,2.8309,4.7039,3.3786,5.0624,4.4329
199106,-3.1541,-3.7495,-3.9489,-5.858,-4.455,-4.2801
199107,3.793,2.6853,3.4571,3.6864,4.889,5.2533
199108,3.7522,2.9845,3.379,1.8542,2.5177,3.8832
199109,1.2677,1.4338,0.8082,0.0763,-0.9423,-1.615
199110,3.1591,2.7062,2.6106,4.2674,1.3679,1.1277
199111,-1.6,-2.3005,-3.8151,-2.508,-4.0627,-4.2884
199112,1.3264,4.6849,5.9563,9.2467,10.7408,11.5565
199201,23.914,11.5353,13.8601,2.0896,1.114,2.3721
199202,6.9293,4.475,5.6125,2.2166,2.0366,2.3545
199203,-0.0112,-1.314,-2.5317,-2.5177,-2.0056,-2.6481
199204,-5.719,-3.1267,-4.6568,-0.1814,0.8503,0.7065
199205,0.463,0.4472,-0.7738,0.9763,0.974,0.8697
199206,-5.6023,-3.6188,-5.4403,-1.4996,-2.1376,-2.3925
199207,1.0627,2.2048,3.8999,4.1194,4.938,3.9879
199208,-3.8105,-2.2852,-1.5708,-3.7628,-2.0996,-1.7029
199209,0.4584,2.4494,1.7451,1.766,1.9197,1.6399
199210,1.8366,2.2091,3.2032,2.9723,1.2869,3.2935
199211,8.1807,8.0223,8.8133,5.337,3.7911,6.1268
199212,3.7613,4.5087,3.6832,4.0943,2.1581,2.4798
199301,8.0829,5.7719,6.8189,2.8814,2.3658,1.187
199302,-1.6405,-1.7738,-2.4343,0.3871,1.2788,-1.29
199303,2.5649,2.6151,2.1792,3.6204,3.5032,2.7857
199304,-1.1925,-2.2841,-3.3889,-0.7689,-1.9631,-3.9562
199305,5.8354,4.5784,3.4646,4.5949,2.6513,3.5668
199306,2.3737,0.3073,0.8918,1.4055,0.3432,0.2316
199307,0.813,1.636,0.3127,1.1024,0.5965,-0.9286
199308,4.1672,3.9291,4.1971,6.3941,3.5083,4.0717
