Month,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
198311,3.6362,4.9349,4.7216,4.1805,2.2729,1.9442
198312,-1.9616,-1.3831,-1.5117,-2.4051,-1.1429,0.1691
198401,-0.1077,-1.5789,-2.28,-2.6842,0.8345,-2.5088
198402,-5.6959,-4.9398,-5.6757,-5.3866,-3.0721,-3.7341
198403,1.033,0.8777,1.0447,3.2126,0.485,1.3858
198404,-2.2157,-0.1365,0.3451,-3.0555,1.8779,0.9535
198405,-6.3816,-4.5002,-4.9115,-7.4712,-4.6549,-4.4297
198406,1.2702,2.8878,4.0812,-0.0304,3.7169,3.3142
198407,-6.9807,-3.5027,-2.6239,-3.6536,-1.9589,-0.6309
198408,11.5354,11.5776,11.7282,13.0122,11.0064,11.0882
198409,-1.8362,0.2257,0.0994,-0.6116,-0.2592,0.3515
198410,-2.8889,-0.753,-0.2541,0.9103,-0.3134,0.8269
198411,-4.403,-1.3151,-1.1748,-0.0157,-0.6003,-1.566
198412,0.4481,2.2687,2.6788,2.5941,2.3076,2.8191
198501,13.4431,11.0689,12.0588,8.6981,7.469,8.3877
198502,2.5515,2.5251,3.118,0.0619,1.6542,2.2503
198503,-3.7284,-0.799,-1.1237,-0.1216,0.3878,-0.2997
198504,-1.9337,-1.0632,0.9856,-0.5861,-0.0069,-0.5482
198505,2.2432,3.9001,5.0922,6.2779,6.1789,6.0233
198506,-0.4702,2.2181,3.718,2.1705,2.1115,1.0741
198507,3.0342,1.8066,2.4233,-0.2745,-0.6842,-0.7029
198508,-1.1802,-0.6125,-0.9124,-0.3605,-0.2874,-0.5825
198509,-6.8328,-4.5521,-5.6612,-4.555,-3.4301,-3.3234
198510,2.154,3.6538,4.0305,5.1825,4.6951,4.8957
198511,6.9264,6.761,7.9757,7.2304,7.2655,6.8845
198512,3.6261,4.542,4.5701,4.1173,4.7355,4.871
198601,2.201,1.1648,2.8644,4.5903,0.1636,-0.0137
198602,5.5637,6.8369,8.5863,8.5359,7.6426,7.6662
198603,3.8517,5.7579,4.5888,4.6274,5.0624,6.5252
198604,1.0519,1.7471,2.4393,-4.8921,-0.5949,-0.2519
198605,2.6057,4.3382,5.1144,4.3636,5.121,6.0253
198606,-0.8324,1.0208,1.2633,0.3773,2.367,1.7718
198607,-10.3008,-7.8784,-9.4347,-4.1618,-4.3221,-6.5803
198608,3.0877,4.1226,2.0182,8.7042,7.2597,6.6077
198609,-6.0448,-5.9618,-6.8797,-8.7991,-8.5828,-8.2099
198610,2.8337,3.206,4.1313,5.7934,6.2027,4.791
198611,-0.8523,0.458,0.0421,0.792,2.2592,2.1239
198612,-3.7532,-2.4625,-2.3971,-3.0613,-2.9966,-2.4645
198701,11.2661,11.5707,11.6662,13.2922,12.4096,13.3314
198702,8.7952,6.2392,8.3021,5.6875,3.3244,4.6072
198703,2.584,2.8239,1.6912,-0.0047,1.1336,3.5118
198704,-1.6619,-3.8413,-3.0939,-1.4659,-2.1334,-0.9873
198705,-0.0617,0.4099,-0.307,-0.616,0.9536,0.9258
198706,0.9352,3.0107,2.992,3.7971,4.7368,5.3931
198707,3.0024,3.8111,2.9808,5.9837,3.2549,5.229
198708,1.8508,3.287,4.427,3.2468,3.9975,4.5965
